transaction_id,station_id,timestamp,ticket_type,passenger_category,entry_station,exit_station,travel_duration,fare_amount,payment_method
TXN00000001,HYD049,2024-11-14 14:54:00,Smart Card,General,Nagole,Chaitanyapuri,21,27,Metro App
TXN00000002,BLR009,2024-11-11 16:04:00,Token,Senior Citizen,Deepanjali Nagar,Nayandahalli,11,20,Cash
TXN00000003,DEL129,2024-11-13 08:44:00,Monthly Pass,General,Harkesh Nagar Okhla,Arthala,55,45,Metro App
TXN00000004,DEL173,2024-10-10 19:45:00,Smart Card,General,Naraina Vihar,Shyam Park,43,36,NCMC Card
TXN00000005,NGP017,2024-11-21 06:06:00,Token,Student,New Airport,Rachana Ring Road,22,30,NCMC Card
TXN00000006,DEL133,2024-12-14 21:40:00,Smart Card,Senior Citizen,Tughlakabad,Kashmere Gate,52,45,Cash
TXN00000007,BLR030,2024-10-27 18:20:00,QR Ticket,General,Seetharamapalya,MG Road,23,30,Metro App
TXN00000008,BLR062,2024-10-12 17:39:00,QR Ticket,Tourist,JP Nagar,Yelachenahalli,10,10,NCMC Card
TXN00000009,DEL054,2024-12-11 20:22:00,QR Ticket,General,Subhash Nagar,Indraprastha,25,30,UPI
TXN00000010,DEL086,2024-11-21 10:34:00,QR Ticket,General,Noida Electronic City,Lajpat Nagar,30,40,UPI
TXN00000011,DEL115,2024-11-06 23:42:00,Smart Card,General,Lal Qila,East Vinod Nagar,17,27,UPI
TXN00000012,BLR010,2024-10-18 06:41:00,QR Ticket,Senior Citizen,Attiguppe,Jayanagar,18,30,Metro App
TXN00000013,KOL025,2024-11-24 16:28:00,QR Ticket,General,Shahid Khudiram,Sealdah,24,30,UPI
TXN00000014,DEL002,2024-11-04 11:34:00,Token,General,Rohini Sector 18-19,Tis Hazari,29,30,Cash
TXN00000015,MUM015,2024-12-07 23:48:00,Monthly Pass,Senior Citizen,Kandarpada,Poisar,12,18,NCMC Card
TXN00000016,DEL196,2024-12-25 06:40:00,QR Ticket,General,Johri Enclave,New Delhi,35,40,NCMC Card
TXN00000017,BLR061,2024-11-30 17:21:00,Smart Card,General,Banashankari,Kadugodi Tree Park,41,36,Credit/Debit Card
TXN00000018,CHN010,2024-12-12 09:40:00,Monthly Pass,General,Little Mount Metro,Meenambakkam,17,27,UPI
TXN00000019,DEL220,2024-10-11 07:04:00,QR Ticket,Women,Delhi Aerocity,Sarojini Nagar,36,40,UPI
TXN00000020,DEL051,2024-10-23 22:47:00,Smart Card,General,Janakpuri West,Anand Vihar ISBT,40,36,NCMC Card
TXN00000021,CHN009,2024-10-05 10:05:00,QR Ticket,Tourist,Saidapet,Wimco Nagar Depot,26,30,NCMC Card
TXN00000022,CHN030,2024-12-24 12:40:00,Smart Card,General,Anna Nagar Tower,Kilpauk,15,27,NCMC Card
TXN00000023,CHN003,2024-11-29 11:19:00,Token,General,Nanganallur Road,Saidapet,11,20,Credit/Debit Card
